group,trade_names,crop_registered,mode,registered_dose,phi_days,mrl_ppm,blocklist_reason_if_any,source_ref,verification_status,notes
mancozeb,Dithane M-45; Indofil M-45,yes,contact_fungicide,2.5–3.0 g/L (0.25–0.3%),15-21,0.5,,CIB&RC label; FSSAI Gazette S.O. 2892(E) 2011; VNMKV Ratification Response 2026-09-23 (PHI corrected 7 → 15-21),CONFIRMED_via_VNMKV,Broad-spectrum multi-site contact; leaf spot preventive DAP 30-90; rotate with systemic to prevent resistance; FSSAI CS2-evolution MRL — late-season overuse risks residue non-compliance.
copper_oxychloride,Blitox 50; Fytolan; Cupramar,yes,contact_fungicide_bactericide,2.5–3.0 g/L (0.25–0.3%),15,20.0,,CIB&RC label; FSSAI general Cu limits; VNMKV Ratification Response 2026-09-23 (PHI corrected 5 → 15),CONFIRMED_via_VNMKV,Soft rot preventive drench DAP 15-45; also bactericidal. Do NOT tank-mix with biological agents (kills Trichoderma/Pseudomonas). Repeated drenching in heavy vertisols risks Cu toxicity and root stunting.
metalaxyl_M,Ridomil Gold; Curzate M8 (combi),yes,systemic_fungicide,2.5-3.0 g/L (foliar or targeted soil drench),30,0.05,,CIB&RC label (Ridomil Gold ginger claim); FSSAI MRL; VNMKV Ratification Response 2026-09-23 (PHI corrected 21 → 30; pre-mix preferred),CONFIRMED_via_VNMKV,Oomycete-specific (Pythium/Phytophthora); soft rot curative + preventive during peak monsoon. Systemic translocation into rhizome — long PHI mandatory. PRE-MIX (Metalaxyl 8% + Mancozeb 64%) preferred algorithmically over solitary Metalaxyl — oomycetes rapidly develop single-site resistance.
imidacloprid,Confidor; Tatamida,yes,systemic_insecticide,0.3-0.5 ml/L (17.8% SL formulation; 30-35 g a.i./ha),30-40,0.05,,CIB&RC label; FSSAI MRL; VNMKV Ratification Response 2026-09-23,CONFIRMED_via_VNMKV,"Sucking pests (thrips), rhizome fly vector control. Apply DAP 45-100 only upon ETL crossing per scouting alert. Long PHI mandatory — do NOT apply after DAP 180. Do not apply near surface water sources (aquatic toxicity)."
trichoderma_harzianum,Nisarga; Ecoderma; Trichoguard,yes,biological_fungicide,5 g/L soil drench OR 10 g/kg seed treatment,0,0,,CIB&RC bio-input registration; ICAR-IISR recommendation,CONFIRMED,"Seed treatment + soil drench; no PHI, no MRL concern"
pseudomonas_fluorescens,Sudo Guard; Monas,yes,biological_bactericide,10 g/L soil OR 20 g/kg seed,0,0,,CIB&RC bio-input; ICAR-IISR recommendation,CONFIRMED,Bacterial wilt suppression; do NOT mix with copper (kills biological)
bacillus_subtilis,Serifel; Kodiak,yes,biological_fungicide,5 g/L drench,0,0,,CIB&RC bio-input,CONFIRMED,Preventive; complementary to Trichoderma
neem_oil,Nimbicidine; Multineem 1500ppm,yes,botanical_insecticide,5 ml/L (0.5%),0,0,,CIB&RC label; NPOP organic-permitted,CONFIRMED,"Thrips, mite, soft-bodied pests; foliar; NPOP allowed"
carbendazim,Bavistin; Derosal,restricted,systemic_fungicide,SEED TREATMENT ONLY at 1.0-2.0 g/kg rhizome; drench 1.0 g/L (pre-plant only),30+ (pre-plant only),0.1,,CIB&RC label; VNMKV Ratification Response 2026-09-23 (RESTRICTED to seed treatment; late-stage foliar/drench must be blocked algorithmically),CONFIRMED_via_VNMKV_RESTRICTED,Systemic tubulin inhibitor effective against Fusarium in seed rhizome. HISTORICALLY used for leaf spot foliar spray — this use NOW PROHIBITED by VNMKV mandate. Environmental persistence + human-health scrutiny + EU/US market restrictions. AI must block any late-stage foliar/drench recommendation.
streptocycline,Paushamycin (streptomycin+tetracycline),no,antibiotic_bactericide,N/A — BANNED,,,BANNED IN AGRICULTURE from 1 January 2024 per Union Ministry of Agriculture Gazette Notification. Streptomycin is a WHO Critically Important Antimicrobial (CIA) for human medicine; agricultural use accelerates antimicrobial resistance (AMR).,Union Ministry of Agriculture & Farmers Welfare Gazette Notification (effective 2024-01-01); CIB&RC restricted list; WHO Critically Important Antimicrobials classification; VNMKV Ratification Response 2026-09-23,CONFIRMED_BLOCKLIST,SUPERSEDED — was CONDITIONAL for bacterial wilt suppression; now absolute ban. AI must flag any user input as critical violation and pivot to Pseudomonas biological drench + 5-7 year rotation.
sulphur,Sulfex; Kumulus WG,yes,contact_fungicide_acaricide,3 g/L,0,0,,CIB&RC label; NPOP organic-permitted,CONFIRMED,"Powdery mildew, mite; foliar; not for temp > 32°C (phytotoxic)"
