priority,rule_id,domain,category,executable,immutable,severity,status,trigger_en,trigger_expr,action_en,agronomic_basis,yield_impact,confidence,source_tier,recoverability,source_class,references,review_outcome,reviewer,review_date,review_comment_mr
P1,D01-HW-001,D01,HW,yes,no,blocking,PHASE_1_RAW_UNVALIDATED,moisture_probe_depth_cm greater than 20,moisture_probe_depth_cm > 20,BLOCK all moisture-derived advisory. Require the sub-node capacitive probe to be repositioned into the 0-20 cm band before planting.,Ginger is shallow-rooted and the rhizome grows horizontally; the entire working zone is the top 30 cm. A probe set for a deep-rooted crop samples a different soil volume altogether.,"Not a yield factor in itself. It invalidates every moisture threshold in Domain 3, so its effect is to corrupt the largest single advisory stream.",0.95,A,full,SRC-Q,Domain 1 root morphology | CropLibrary land preparation,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"0–20 cm probe placement is a useful operational gate, but the exact 0–20 cm universal sensing depth should remain soil/root-zone calibrated. Keep the gate; validate depth by field and soil profile."
P1,D01-PW-001,D01,PW,yes,no,blocking,PHASE_1_RAW_UNVALIDATED,Date is after 7 June AND planting has not yet occurred,"planting_date IS NULL AND MONTH IN [JUN, JUL] AND dap IS NULL","BLOCK normal planting advisory. State that the window has closed. Present the choice explicitly: skip the season, or accept the risk. If proceeding, double all rhizome fly and soft rot preventive measures.",Official window is 15 April to first week of June. Rhizome fly peaks July-August; timely planting means the crop is 60-90 days old and robust by then. Late planting leaves it soft and vulnerable at exactly the wrong moment.,"u = 0.20. At 113 q/acre ceiling and Rs 4000/quintal this is roughly Rs 90,000 per acre.",0.92,A,none,SRC-Q,"Agrowon - Dr. Jitendra Kadam, Kasbe Digraj",CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"The planting-window concept is supported, but the exact 7 June cutoff, doubled prevention claim and fixed u=0.20 loss are not sufficiently universal. Make the cutoff region/variety/advisory-source specific and remove the fixed loss unless locally validated."
P1,D02-DR-002,D02,DR,yes,no,blocking,PHASE_1_RAW_UNVALIDATED,"drainage_levels_present less than 3 OR main_drain_connected is false, before planting",(drainage_levels_present < 3 OR main_drain_connected IS FALSE) AND dap IS NULL,"Require all three drainage levels before planting: (1) bed height 25-30 cm, (2) 60 cm furrows between beds, (3) a main channel at the lowest point of the field, connected to an outlet outside the field.",The third level is the one most often omitted. Raised beds and furrows only move water within the field; without an outlet the water circulates and the beds stand in it.,"u = 0.15 to 0.30 for inadequate drainage, rising toward 0.70 if it triggers a full soft rot outbreak.",0.85,A,partial,SRC-D,Agrowon - Dr. Kadam | CJAST 2020 soft rot review,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"Good drainage and raised beds are strongly supported, but 25–30 cm beds + 60 cm furrows + mandatory external outlet are not universal ginger standards. IISR guidance supports raised beds/drainage with different dimensions. Make geometry soil/slope specific."
P1,D03-SB-001,D03,SB,yes,no,blocking,PHASE_1_RAW_UNVALIDATED,moisture_probe_depth_cm greater than 20,moisture_probe_depth_cm > 20,Block all moisture-derived advisory in this domain. Reposition the probe into the 0 to 20 cm band before planting.,Ginger roots occupy 0 to 30 cm with the majority in the top 20. Every threshold in this domain assumes readings from that band.,Not a yield factor itself. It invalidates the largest advisory stream in the system.,0.95,A,full,SRC-Q,Domain 1 root morphology | D01-HW-001,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,Correct as a data-quality gate if the system is calibrated for a 0–20 cm sensing zone. Exact root-depth basis needs stronger crop-specific evidence; do not treat 20 cm as a universal root boundary.
P1,D08-WD-001,D08,WD,yes,no,blocking,PHASE_1_RAW_UNVALIDATED,Herbicide proposed AND (emergence_started is true OR dap at or above 15),(emergence_started IS TRUE OR dap >= 15) AND herbicide_post_emergent_date IS NULL,"BLOCK all herbicide. Glyphosate is non-selective and will kill emerged ginger. From here on, weed control is manual weeding and mulch only.","Source instructs that herbicide be avoided once emergence begins. Ginger emerges at 15 to 25 DAP while the second herbicide application falls at 12 to 15 DAP, so the two nearly coincide and the margin for error is a few days.",Prevents catastrophic crop loss rather than a proportional one.,0.88,C,none,SRC-Q,AgroWorld herbicide schedule | Domain 1 emergence timing,NON_COMPLIANT,VIRAAI_AGRONOMY_REVIEW,46287,"The rule blocks all herbicide after emergence, which is too broad. ICAR-IISR documents crop-specific pre/post-emergence herbicide options in ginger. Replace with: block non-selective/unregistered herbicides; permit only crop-labeled, locally recommended products at label timing/dose."
P1,D10-SUB-002,D10,SUB,yes,no,blocking,PHASE_1_RAW_UNVALIDATED,Subsidised work about to begin AND pre_sanction_received is false,pre_sanction_received IS FALSE AND subsidy_scheme_applied IS NOT NULL,BLOCK. Work started before pre-sanction is not eligible for subsidy. Wait for the pre-sanction letter before laying drip or excavating a pond.,"The scheme process is application, scrutiny, lottery, pre-sanction, then work. Starting early because the planting calendar is tight is the most common and most expensive error, because it forfeits the entire subsidy on work that was going to be done anyway.",None on yield. It can cost the whole subsidy on the largest capital item.,0.85,B,none,SRC-Q,govtyojanamaharashtra.com application process,LEGAL_REVIEW_REQUIRED,VIRAAI_AGRONOMY_REVIEW,46287,"This is scheme/legal compliance, not agronomy. Retain the block concept, but require current Maharashtra scheme/GR/portal verification before production sign-off."
P1,D12-DPDP-001,D12,DPDP,yes,yes,blocking,PHASE_1_RAW_UNVALIDATED,Farmer data is about to be collected AND consent_advisory is false,consent_advisory IS FALSE OR consent_advisory IS NULL,"BLOCK collection. Obtain explicit consent in Marathi, in plain language, at registration. State the purpose, the retention period and the right to erasure.","The system collects personally attributable data including name, location, land details, financial information and operation records. The DPDP Act 2023 requires consent that is explicit, informed and in a language the person understands.",None. Legal compliance.,0.85,A,full,VERIFY,Digital Personal Data Protection Act 2023,LEGAL_REVIEW_REQUIRED,VIRAAI_AGRONOMY_REVIEW,46287,"Privacy-law compliance is outside agronomy scope. Keep the consent gate, but obtain legal/privacy review for the exact DPDP wording, retention and erasure statements."
P1,D12-DPDP-002,D12,DPDP,yes,yes,blocking,PHASE_1_RAW_UNVALIDATED,Data is about to be shared with a research or commercial partner,consent_research IS FALSE OR consent_research IS NULL,Require separate consent. Consent to receive advisory does not cover data sharing. Refusing the second consent must not stop the service.,"The project's funding pathways include data partnerships. Under DPDP, purpose limitation means data collected to deliver advisory cannot be repurposed for a partnership without fresh consent, and consent obtained under pressure of losing the service is not free consent.",None. Legal compliance and a condition of any data partnership being defensible.,0.85,A,full,VERIFY,DPDP Act 2023 purpose limitation | project data partnership pathways,LEGAL_REVIEW_REQUIRED,VIRAAI_AGRONOMY_REVIEW,46287,"Separate-consent architecture is sensible, but exact DPDP purpose/consent interpretation requires legal/privacy review. Agronomy sign-off is not applicable."
P1,D13-RP-002,D13,RP,yes,no,blocking,PHASE_1_RAW_UNVALIDATED,Seed retention proposed AND field_history_rot or field_history_wilt is true within the persistence period,seed_retained_or_purchased == 'retained' AND (field_history_rot IS TRUE OR field_history_wilt IS TRUE),"BLOCK. Do not retain seed from this field regardless of the cost comparison. A cost advantage does not survive one introduction event, and the wilt bacterium persists in soil for many years.","Seed rhizome is the primary introduction route for both soft rot and bacterial wilt. Retaining from an infected field carries the pathogen forward, and the resulting exposure is Rs 1.8 to 3.2 lakh against a seed saving of at most Rs 40,000.",Prevents exposure to u = 0.50 to 0.70 in the following season.,0.88,A,none,SRC-D,Core C13.5 | Domain 6 bacterial wilt persistence | Domain 1 seed retention rule,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,Blocking seed retention from fields with rot/wilt history is agronomically defensible. The exact pathogen persistence period and u=0.50–0.70 loss/exposure values need source-specific validation.
P1,D03-DS-001,D03,DS,yes,no,red,PHASE_1_RAW_UNVALIDATED,soil_texture_class is heavy AND drip design not set to the heavy-soil configuration,has_drip IS TRUE AND drip_lateral_spacing_ft IS NULL,"Set inline drip to the heavy soil configuration: lateral spacing 4.5 to 5 feet, dripper spacing 40 cm, dripper flow 2 lph. Do NOT use close dripper spacing at high flow on clay.","In heavy soil water spreads laterally, so wider dripper spacing still produces a continuous wetted strip. Close spacing at high flow exceeds the infiltration rate, water ponds on the surface and the system itself becomes a cause of soft rot.",Not quantified directly. Prevents a self-inflicted route into the largest loss factor in the crop.,0.88,A,partial,SRC-Q,"Agrowon - Bitle & Deshmukh, drip design by soil type",NON_COMPLIANT,VIRAAI_AGRONOMY_REVIEW,46287,The trigger expression does not actually test soil_texture_class or the specified heavy-soil configuration; it only tests has_drip and missing lateral spacing. This is a code/logic mismatch. Split detection from recommendation and validate geometry by soil/infiltration.
